search term,sex or gender,place of birth,occupation,country of residence,religion,voice_type,ethnic group,native language,age,filename
Piers+Morgan,male,Guildford,journalist,United Kingdom,Catholic Church,,,,52.0,"Piers Morgan on his friend Donald Trump, tells snowflake liberals to get over it"
SKRILLEX,male,Los Angeles,club DJ,United States of America,,,,,29.0,GRAMMYs Live - Skrillex accepting his FIRST GRAMMY
Virender+Sehwag,male,Delhi,cricketer,India,,,,,39.0,Virender Sehwag retirement speech video
Chris+Paul,male,Lewisville,basketball player,United States of America,,,African Americans,,32.0,Chris Paul Motivational Speech at 2017 CP3 NMSC Camp - Chris Paul Basketball Advice
Jamie+Foxx,male,Terrell,actor,United States of America,,,,,50.0,Jamie Foxx Wins Best Actor: 2005 Oscars
Irfan+Bachdim,male,Amsterdam,association football player,Kingdom of the Netherlands,,,,,29.0,Speech by Rubina Irfan at the WIP Annual Summit 2013
KC+Concepcion,female,Manila,songwriter,Philippines,,,,,32.0,KC Concepcion beautiful speech in Global Youth Summit
Daniel+Padilla,male,Manila,musician,Philippines,,,,,22.0,Daniel Padilla acceptance speech for winning Best Actor at 33rd PMPC Star Awards for Movies
Marcelo+Vieira,male,Rio de Janeiro,association football player,Brazil,,,,,29.0,Marcelo Vieira 2017 ● marcelo story ● marcelo viera Skills ● Marcelo Wife | HD
Michel+Teló,male,Medianeira,singer-songwriter,Brazil,,,,,36.0,Michel Teló & Neymar Singing - Ai Se Eu Te Pegoc 1080 HD
Luis+Manzano,male,San Juan,comedian,Philippines,,,,,36.0,TWBA: Fast Talk with Luis Manzano
Steve+Carell,male,Concord,actor,United States of America,Catholicism,,,,55.0,Steve Carell's That What She Said Speech
Neil+deGrasse+Tyson,male,New York City,astrophysicist,United States of America,agnosticism,,African Americans,,59.0,Neil deGrasse Tyson on Knowledge vs. Thinking
Noel+Schajris,male,Buenos Aires,singer,Argentina,,,,,43.0,Noel Schajris Quinceanera.com interview.flv
Rev+Run,male,Queens,rapper,United States of America,,,,,53.0,Rev Run Speech
Sandra+Dewi,female,Pangkal Pinang,actor,,,,Chinese Indonesians,,34.0,Sandra Dewi and Harvey Moeis' Wedding Ceremony
Amr+Diab,male,Port Said,singer,Egypt,,,,,56.0,Amr Diab - Interview at Africa Music Awards | لقاء عمرو دياب أثناء تسليم جائزة الميوزك أورد 2009
Shawn+Mendes,male,Ontario,singer,Canada,,,,,19.0,Speech Jammer Challenge with Shawn Mendes & Tyler Layne
Felipe+Neto,male,,actor,Brazil,,,,,29.0,BRAZILIAN TRIES TO SPEAK GERMAN
Polo+Polo,male,León,comedian,Mexico,,,,,74.0,Teri Polo Receives the Ally for Equality Award
Vijay+Mallya+,male,Bantwal,entrepreneur,India,,,,,62.0,Chief Justice TS Thakur breaks down before Narendra Modi during his speech
Ashton+Irwin,male,,drummer,,,,,,23.0,5 Seconds Of Summer - Ashton's Speech & Jet Black Heart live from The Broken Scene
Riteish+Deshmukh+,male,Latur,actor,India,,,,,39.0,EIC: Atul Khatri on Indians Traveling to America
LAMAR+ODOM,male,Queens,basketball player,United States of America,,,African Americans,,38.0,Lamar Odom wins Sixth Man award
Preta+Gil,female,,singer,Brazil,,,,,43.0,SHOW DE ANIVERSÁRIO DA PRETA GIL | Estilo Bifásico
TOM+CAVALCANTE,male,Fortaleza,actor,Brazil,,,,,55.0,RONALTOM E MILTON NEVES PARTE1/2
Randy+Orton,male,Knoxville,professional wrestler,United States of America,,,,,37.0,"Randy Orton emerges with a special message for Sheamus: SmackDown, July 9, 2015"
DJ+KING+ASSASSIN,male,Los Angeles,actor,United States of America,,,,,46.0,Shock G And DJ King Assassin #2Pac #UnderWater @HumptyFunk #MAKAVELI2016
Gading+Marten,male,Indonesia,actor,Indonesia,,,,,35.0,NET. ONE Anniversary - Breakthrough Artis of The Year | NET ONE | NetMediatama
Lucero,female,Mexico City,actor,Mexico,,,,,48.0,Camp Lucero Visit (Speech) 6/6/2017
Kevin+Spacey,male,South Orange,film actor,United States of America,,,,English,58.0,Kevin Spacey - Motivational speech
Ozzy+Osbourne,male,Aston,singer-songwriter,United Kingdom,Anglicanism,tenor,,,69.0,TIME Magazine Interviews: Ozzy Osbourne
Adam+Schefter,male,Valley Stream,writer,United States of America,,,,,51.0,Adam Schefter named honorary captain for Michigan home opener
Gary+Lineker,male,Leicester,association football player,United Kingdom,,,,,57.0,Gary Lineker best man speech 22 Dec 2014
Vhong+Navarro,male,Makati,actor,Philippines,,,,,40.0,Vhong Navarro is back on It's Showtime
Cristine+Reyes,female,Marikina,model,Philippines,,,,,28.0,TWBA: Fast Talk with Cristine Reyes
Jordin+Sparks,female,Phoenix,actor,United States of America,Evangelical Christianity,,African Americans,,28.0,Jordin Sparks Speech about LGBQT Love (Miami Gay Pride 2016)
Sıla+Gençoğlu,female,Denizli,singer,Turkey,,,,,37.0,Süper Konuk: Sıla - Part 3
Najwa+Karam,female,Zahlé,singer,Lebanon,,,,,51.0,Finding Home Through Poetry | Najwa Zebian | TEDxCoventGardenWomen
Victor+Valdes,male,L'Hospitalet de Llobregat,association football player,Spain,,,,,35.0,Víctor Valdés (Marlon Becerra Entrevista)
Jamel+Debbouze,male,Paris,actor,France,,,,French,42.0,Jamel Debbouze - Le sketch du mariage
Julia+Montes,female,Quezon City,model,Philippines,,,,,22.0,Julia Montes speech at the Gawad Tanglaw 2016
Eden+hazard,male,La Louvière,association football player,Belgium,,,,,26.0,Player of the Year Awards 2014
Miranda+Kerr,female,Sydney,model,Australia,Christianity,,,,34.0,Victoria s Secret Angel Miranda Kerr makes a speech to begin the Gillette Venus Step
Gary+Barlow,male,Frodsham,singer-songwriter,United Kingdom,,,,,46.0,Gary Barlow's speech at GQ Men of the Year Awards 2012
Carmen+Aristegui,female,Mexico City,journalist,Mexico,,,,Spanish,52.0,Recibe Aristegui premio Premio Knight de Periodismo 2016 (Discurso) - Aristegui Noticias
Bill+Cosby,male,Philadelphia,television actor,United States of America,,,African Americans,,80.0,Bill Cosby Famous Pound Cake Speech
Tony+Hawk,male,San Diego,skateboarder,United States of America,,,,,49.0,Tony Hawk's Top 10 Rules For Success (@tonyhawk)
Andrea+Legarreta,female,Mexico City,economist,Mexico,,,,,37.0,Andrea Legarreta opina sobre el dolar
Tyler+Perry,male,New Orleans,actor,United States of America,,,African Americans,,51.0,Tyler Perry at Tuskegee University Commencement 2016
Julieta+Venegas,female,Long Beach,singer,Mexico,,mezzo-soprano,Mexican American,,47.0,Julieta Venegas recibe el Latin Grammy por Mejor Disco Pop Rock del año
Bipasha+Basu,female,New Delhi,actor,India,,,,,38.0,Bipasha Basu Full Speech | Launch Of Springfit Mattresses Autograph Collection
PSY,male,Gangnam District,singer,South Korea,,,,,40.0,"""Gangnam Style"" Singer PSY Visits Harvard"
Cara+Delevingne,female,Hammersmith,model,United Kingdom,,,,,25.0,Cara Delevingne interviewed by Rupert Everett
zach+galifianakis,male,Wilkesboro,actor,United States of America,,,,,48.0,Alan's Speech
Kelly+Osbourne,female,Westminster,actor,United Kingdom,,,,,33.0,Arctic Monkeys South Bank Awards Speech
Eddie+Izzard,male,Colony of Aden,comedian,United Kingdom,atheism,,,,55.0,Eddie Izzard -  Ich Bin Ein Berliner
cüneyt+özdemir,male,Ankara,journalist,Turkey,,,,,47.0,Dede'den Cüneyt Özdemir'e: Başın sağolsun
Joel+Osteen,male,Houston,minister,United States of America,Pentecostalism,,,,54.0,Motivational Speech by Joel Osteen - Live With Confidence
Dylan+O'Brien,male,New York City,actor,United States of America,,,,,26.0,Dylan O'Brien - Young Hollywood Awards 2014
Yılmaz+Erdoğan,male,Hakkâri,actor,Kurdistan,,,,,50.0,Yılmaz Erdoğan AACTA Awards'da 'En İyi Yardımcı Erkek Oyuncu'
Preity+zinta,female,Shimla,actor,India,,,,,42.0,Preity Zinta at the University of East London receiving an Honorary Doctorate
Roger+Federer,male,Basel,tennis player,Switzerland,,,,German,36.0,Roger Federer Australian Open winning Speech 2017 & Trophy Presentation
Lorde,female,Takapuna,singer-songwriter,New Zealand,,mezzo-soprano,,,21.0,Lorde Wins Best Pop Solo Performance | GRAMMYs
Ezequiel+Lavezzi,male,Villa Gobernador Gálvez,association football player,Argentina,,,,,32.0,PSG's Lavezzi joking with the French Ligue President - Ligue 1 - 2013/2014
Jack+Whitehall,male,London,comedian,United Kingdom,,,,,29.0,Jack Whitehall and the Queen's speech - Would I Lie to You?  [CC]
Al+Yankovic,male,Downey,singer,United States of America,Christianity,,,,58.0,"""Weird Al"" Yankovic Wins Best Comedy Album | GRAMMYs"
Alejandro+Fernandez,male,Guadalajara,singer,Mexico,,,,,46.0,"Alejandro Fernandez. Speech + No lo beses, Alicante 22 Julio 2010"
Shreya+Ghoshal,female,Durgapur,singer,India,,soprano,,,33.0,Shreya Ghoshal Interview Part 1- ZEE TV USA
Ragheb+Alama,male,Beirut,singer,Lebanon,,,,,55.0,Ragheb Alama's speech at Georges Washington University
Wyclef+Jean,male,Croix-des-Bouquets,rapper,Haiti,,,,,48.0,Wyclef Jean Speech
Scooter+Braun,male,New York City,talent agent,United States of America,,,,,36.0,Scooter Braun Speech at the One Love Manchester Concert
Tiësto,male,Breda,disc jockey,Kingdom of the Netherlands,,,,,48.0,obama vs tiesto best speech ever(manny mix)
Kevin+Aprilio,male,Jakarta,,Indonesia,,,,,27.0,Kevin speech on climate and environment 2017
Ivan+Urgant,male,Saint Petersburg,actor,Russia,,,,Russian,39.0,Kate Beckinsale Teaches Stephen To Speak Russian
Norman+Thavaud,male,Arras,actor,France,,,,French,30.0,Mat Norman's amazing best mans speech
Usain+St.+Leo+Bolt,male,Sherwood Content,sprinter,Jamaica,,,,,31.0,Evolution of Usain Bolt's Races | 2004 ➔ 2017
Lance+Armstrong,male,Plano,sport cyclist,United States of America,,,,,46.0,Lance Armstrong Paris
Paul+Wesley,male,New Brunswick,television actor,United States of America,,,,,36.0,Paul Wesley and Ian Somerhalder behind the scenes
Álvaro+Arbeloa,male,Salamanca,association football player,Spain,,,,Spanish,34.0,Álvaro Arbeloa Farewell vs Valencia Home HD 1080i 08/05/2016
Paul+Pierce,male,Oakland,basketball player,United States of America,,,African Americans,,40.0,Paul Pierce's Speech
Joseph+Gordon-Levitt,male,Los Angeles,actor,United States of America,,,,,36.0,Joseph Gordon Levitt - Great Informative Speech Web Summit
Hamza+Namira,male,Saudi Arabia,singer,Egypt,,,,,37.0,Hamza Namira | Ensan - Human | English Subtitles (Motivation Song)
Jennifer+Hudson,female,Chicago,actor,United States of America,Baptist,mezzo-soprano,African Americans,,36.0,Jennifer Hudson winning Best Supporting Actress
Mark+Cuban,male,Pittsburgh,film producer,United States of America,,,,,59.0,Mark Cuban at USC | Full Interview | 2015
Joyce+Meyer,female,St. Louis,writer,United States of America,,,,,74.0,"Forgive Me God, Change Me"
Valentino+Rossi,male,Urbino,motorcycle racer,Italy,,,,,38.0,MotoGP™ Assen 2013 -- Valentino Rossi interview
Taraji+P.+Henson,female,"Washington, D.C.",actor,United States of America,,,African Americans,,47.0,Taraji P. Henson Talks Equal Pay In Hollywood
Mohamed+ElBaradei,male,Cairo,politician,Egypt,Islam,,,,75.0,ElBaradei Nobel speech 1 of 2
Jim+Jones+,male,Randolph County,sect leader,United States of America,Sectario,,,,86.0,Jim Carrey in Pentagon Briefing Gulf War - In Living Color
Joel+McHale,male,Rome,actor,United States of America,,,,,46.0,Joel McHale at the 2014 White House Correspondents' Dinner (HD Complete)
Jaime+Camil,male,Mexico City,singer,Mexico,,,,,43.0,Gold Derby Jane the Virgin Star Jaime Camil
Aline+Barros,female,Rio de Janeiro,singer,Brazil,,,,,41.0,ALINE BARROS - EXTENSÃO VOCAL (D3-A6)
Nani,male,Praia,association football player,Portugal,,,,,31.0,"Hero Nani Speech @ Ninnu Kori Movie Pre-Release Event  || Nani, Nivetha Thomas, Aadhi Pinisetty"
ahmet+hakan,male,Yozgat,journalist,Turkey,,,,,50.0,Ahmet Hakan Speech Contest
Pedro+Rodríguez,male,Mexico City,Formula One driver,Mexico,,,,,77.0,Tio Pedro's Speech & Song - Rodriguez Reunion 2009
SAM+SMITH,male,London,singer,United Kingdom,,tenor,,,22.0,Sam Smith thanks ex boyfriend for Grammy success –video Music
Phillip+Schofield,male,Oldham,television presenter,United Kingdom,,,,,55.0,Phillip and Holly Struggle to Recover From Their NTA Win! | This Morning
Emily+Osment,female,Los Angeles,actor,United States of America,,,,,25.0,Emily Osment's speech
Enrique+Gil,male,Cebu,actor,Philippines,,,,,25.0,TWBA: Enrique talks about his dad
Sam+Milby,male,Troy,singer,United States of America,,,,,33.0,TWBA: Who is Sam Milby's great love and first love?
Mario+Balotelli,male,Leganés,association football player,Italy,,,,,27.0,Mourinho tells funny Balotelli story
Dolly+Parton,female,Sevier County,guitarist,United States of America,,soprano,Scotch-Irish American,,71.0,Dolly Parton Delivers Commencement Address at the University of Tennessee 2009
Chris+Moyles,male,Leeds,television presenter,United Kingdom,,,,,43.0,Chris Moyles meets Liam Gallagher
Brad+Paisley,male,Glen Dale,singer,United States of America,,baritone,,,45.0,BRAD TOUR WINTER 2011 PROMO/  2010 CMA AWARD ACCEPTANCE SPEACH!
FREDDY,male,Malanje,association football player,Angola,,,,,38.0,[FNAF SFM]   Freddy's Speech
Franco+De+Vita+,male,Caracas,singer,Venezuela,,,,,63.0,Your body language may shape who you are | Amy Cuddy
Haifa+Wehbe,female,Mahrouna,actor,Lebanon,,,,,41.0,Haifa Wehbe in Monte Carlo 2015
Danny+DeVito,male,Neptune Township,actor,United States of America,,,Italian American,,73.0,other peoples money danny devito
Rob+Dyrdek,male,Kettering,television presenter,United States of America,,,,,43.0,Rob Dyrdek - Success Secrets
JWOWW,female,Franklin Square,model,United States of America,,,,,31.0,SPEECH -  Jenni Jwoww Farley and Nicole Snooki Polizzi ta...
Lata+Mangeshkar,female,Madhya Pradesh,actor,India,,,,,88.0,Lata Mangeshkar At Star Guild Awards-2013
Paula+Fernandes,female,Sete Lagoas,singer,Brazil,,,,,33.0,"Shania Twain - ""Now"" Promo for Paula Fernandes (Brazilian singer)"
Syahrini,female,Sukabumi,actor,Indonesia,,,,,37.0,Speech Composing SYAHRINI - Bunga-Bunga (I FEEL FREE) @EkaGustiwana
Jason+Derulo,male,Miramar,dancer,United States of America,,,,,28.0,Jason Derulo Interview on Meredith Show 6.2.2015
Bruno+Gagliasso,male,Rio de Janeiro,actor,Brazil,,,,,35.0,ESSE CABELO É SEU BRUNO GAGLIASSO? | Estilo Bifásico
Bruna+Marquezine,female,Duque de Caxias,actor,Brazil,,,,,22.0,"Carona do GE: Neymar fala sobre Seleção, Messi e Bruna Marquezine"
Josh+Devine,male,England,drummer,United Kingdom,,,,,26.0,Stand By Me- Niall Horan From One Direction & Josh Devine
kesha+,female,Los Angeles,singer,United States of America,,,,English,30.0,Speech of the Miracle Parrot
Russell+Simmons,male,New York City,entrepreneur,United States of America,Buddhism,,,,60.0,Russell Simmons Honored at the 2017 EMA Awards
Jake+T.+Austin,male,New York City,actor,United States of America,,,,,23.0,Jake T. Austin Claims DWTS Is RIGGED & Fans React
Tulisa+Contostavlos,female,London,actor,United Kingdom,,,,,29.0,Singer Tulisa denies drugs charges in court
Chad+Johnson,male,Miami,American football player,United States of America,,,,,39.0,Chad Johnson makes his case for the Hall of Fame | UNDISPUTED
Chris+Rock,male,Andrews,screenwriter,United States of America,,,African Americans,,52.0,Chris Rock's Opening Monologue
Wesley+Sneijder,male,Utrecht,association football player,Kingdom of the Netherlands,,,,Dutch,33.0,Mourinho cries after sneijder speech . English
SEAN+KINGSTON+,male,Miami,singer,Jamaica,,,,,27.0,"John Cena vs. Randy Orton - ""I Quit"" WWE Title Match: WWE Breaking Point 2009 on WWE Network"
James+Franco,male,Palo Alto,actor,United States of America,,,,,39.0,James Franco at Cornell Senior Convocation | Commencement 2016
amanda+bynes,female,Thousand Oaks,actor,United States of America,,,,,31.0,"Sydney White 2007 with Amanda Bynes, Sara Paxton, Matt Long movies   YouTube"
Ana+Maria+Braga,female,,actor,Brazil,,,,,36.0,Ana Maria Braga - O Menino de Meias Vermelhas
MC+HAMMER,male,Oakland,musician,United States of America,,,African Americans,,55.0,Suge Knight MC Hammer 2Pac - August 1996 Brotherhood Crusade Rally (New Speech on Voting)
Gisele+Bündchen,female,Três de Maio,actor,Brazil,Catholicism,,German Brazilians,Portuguese,37.0,Gisele Bündchen's speech at UNEP's Champions of the Earth Award Ceremony 2013
Fergie,female,Hacienda Heights,singer,United States of America,Catholic Church,soprano,,,42.0,Sir Alex Ferguson Farewell Speech 5/12/2013 [Official]
Ayu+Dewi,female,Jakarta,actor,Indonesia,,,,,33.0,"Sogok Olga 5 Juta, Ayu Dewi Menang Award"
Nelly+Furtado,female,Victoria,singer,Canada,,mezzo-soprano,,,39.0,Nelly Furtado - Powerless (Africa Remix Live @ We Day 2011) + Speech
kim+atienza,male,Manila,television presenter,Philippines,,,,,50.0,It's Showtime: Vice and Kuya Kim's preparation
Nikki+Gil,female,Manila,singer,Philippines,,,,,30.0,Nikki Gil Part 1.mpg
Erika+de+la+Vega,female,Caracas,journalist,Venezuela,,,,,42.0,"El Show de Erika, Casi Late Night - [27/04/2014] - Parte V"
Romeo+Santos,male,The Bronx,singer,United States of America,,,,,36.0,"Romeo Santos On Working with Drake, Nicki Minaj and Marc Anthony"
yuvraj+singh,male,Chandigarh,cricketer,India,,,,,36.0,Yuvraj singh 7 rules of success Inspirational speech | Motivational interview
Travie+McCoy,male,New York City,singer,United States of America,,,,,36.0,Travis McCoy Speech
Lauren+Conrad,female,Laguna Beach,actor,United States of America,,,,,31.0,SPEECH: Lauren Conrad at Lucky Magazine Hosts FABB: Fashi...
David+Silva,male,Arguineguín,association football player,Spain,,,,,31.0,David Silva Montessori speech
Caio+Castro,male,Fortaleza,actor,Brazil,,,,,28.0,CAIO CASTRO SENSUALIAZANDO
THiaguinho,male,Presidente Prudente,composer,Brazil,,,,,34.0,Não tem hora nem lugar Rodriguinho part. Thiaguinho Acústico Semana Maluca
Titi+Kamal,female,Jakarta,actor,Indonesia,,,,,36.0,"Minimal "" Meet & Greet with Titi Kamal """
Pavel+Volya,male,Penza,actor,Russia,,,,Russian,38.0,Volya speech 2
JORGE+RIAL,male,Munro,journalist,Argentina,,,,,57.0,Rial advierte
Peter+Andre,male,London,singer-songwriter,United Kingdom,,,,,44.0,Peter Andre Breaks Down On TV While Talking About His Kids
Toni+Kroos,male,Greifswald,association football player,,,,,,27.0,Kroos and Bale speaking spanish on the stage
Mustafa+Ceceli,male,Ankara,singer,Turkey,,,,,37.0,MUSTAFA CECELI | VEGAS CITY HALL | 22 НОЯБРЯ КОНЦЕРТ В МОСКВЕ
Giuliana+Rancic,female,Naples,actor,Italy,,,,,43.0,Giuliana Rancic Interviews Martha Stewart at Intuit QuickBooks Connect - Martha Stewart
Yesung,male,Seoul,singer,South Korea,,,,,33.0,130131 37 20：12 Super Junior Siwon Yesung Ryeowook EXO K @ Seoul Music Awards 2013 speech
Joey+Essex,male,Brentwood,autobiographer,United Kingdom,,,,,27.0,Yawning Joey Essex bored by Clegg speech
Heidi+Klum,female,Bergisch Gladbach,actor,United States of America,,,Germans,,44.0,Heidi Klum: I'm Not Voting for Donald Trump!
+Mustafa+agha,male,,,,,,,,54.0,Al Mustafa Scouts (Agha Jawad Naqvi)
Emma+Roberts,female,"Rhinebeck (village), New York",actor,United States of America,,,,,26.0,Emma Watson to United Nations: I'm a feminist
Busta+Rhymes,male,New York City,musician,United States of America,Islam,,,,45.0,Busta Rhymes Disses Trump at Grammys 2017
Nathan+Fillion,male,Edmonton,actor,Canada,,,,,46.0,Nathan Fillion 100th Castle Episode Speech
Pattie+Mallette,female,Stratford,autobiographer,Canada,,,French Canadian,,42.0,Justin Bieber's mom talks suicide attempt
Fabolous,male,Brooklyn,actor,United States of America,,,African Americans,,40.0,"Fabolous Speech By an Aligarian , Salman Khan Alig..... 2015"
Blake+Griffin,male,Oklahoma City,basketball player,United States of America,,,,,28.0,2015 Kia Optima Blake Griffin Commercial | “Speech” | Official NBA Partner
Dana+White,male,Manchester,entrepreneur,United States of America,Buddhism,,,,48.0,The Ultimate Fighter Look Back: Do You Want to be a Fighter?
Espinoza+Paz,male,"Angostura, Sinaloa",musician,Mexico,,,,,39.0,ESPINOZA PAZ Y YESSENIA FIGUEROA EN VIVO
Seth+Rogen,male,Vancouver,actor,Canada,Judaism,,Jews,,41.0,Seth Rogen Opening Statement (C-SPAN)
Andy+Murray,male,Glasgow,tennis player,United Kingdom,,,Scottish people,English,30.0,Wimbledon 2012 Final ( Andy Murray's Speech)
Lali+Esposito,female,Buenos Aires,actor,Argentina,,,,,26.0,Lali Esposito habla de Israel
michelle+keegan,female,Stockport,actor,United Kingdom,,,,,30.0,Behind the scenes with Mark Wright and Michelle Keegan as they count down to their big day
Slash,male,London Borough of Camden,composer,United Kingdom,,,,,52.0,Slash's speech for Lemmy Memorial Service 09/01/2016
deadmau5,male,Toronto,music executive,Canada,,,,,36.0,deadmau5 admits he's Canadian & humps Tommy Lee's Leg
michael+owen,male,Chester,association football player,United Kingdom,,,,,38.0,Michael Owen's Liverpool regret?
Drake+Bell,male,Santa Ana,actor,United States of America,,,,,31.0,Drake Bell speech at The First Project
Ansel+Elgort,male,New York City,actor,United States of America,,,,,23.0,Ansel Elgort - Teen Choice Awards 2014! Acceptance Speech
Sara+Bareilles,female,Eureka,singer,United States of America,,,,,38.0,Ellen Page on Coming Out
Matt+Pokora,male,Strasbourg,composer,France,,,,French,32.0,Matt Pokora - speech avant Cœur voyageur @ Vienne - théatre antique 17 juillet 2015
Tito+El+Bambino,male,Carolina,singer,Puerto Rico,,,,,36.0,Tito El bambino in Mobile Al
Manuel+Neuer,male,Gelsenkirchen,association football player,Germany,,,,,31.0,MY STRUGGLE - Motivational Video
Seth+Meyers,male,Evanston,actor,United States of America,,,,,44.0,C-SPAN: Seth Meyers remarks at the 2011 White House Correspondents' Dinner
Janet+Jackson,female,Gary,television actor,United States of America,,mezzo-soprano,African Americans,,51.0,Gracious Janet Jackson commending so many standing ovations in one speech
Pau+Gasol,male,Barcelona,basketball player,Spain,,,,,37.0,Discurso de Pau Gasol ante el COI | Madrid 2020 (Pau Gasol speech | Madrid 2020)
Bill+Maher,male,New York City,film actor,United States of America,atheism,,,,61.0,Bill Maher @ Berkeley 2014 Winter Commencement
J+BALVIN,male,Medellín,singer,Colombia,,,,,32.0,J Balvin - 2016 Hispanic Heritage Awards
Vinny+Guadagnino,male,Staten Island,dancer,United States of America,,,,,30.0,Vinny: Snooki changed drastically
Lea+Salonga,female,Manila,actor,Philippines,,mezzo-soprano,,,46.0,Ms. Lea Salonga's Speech
Manu+Ginobili,male,Bahía Blanca,basketball player,Argentina,,,,,40.0,Manu Ginobili speech at Tim Duncan jersey retirement
Georgina+Wilson,female,Texas,model,United States of America,,,,,31.0,"Anne Curtis, Solenn Heusaff at Georgina Wilson fight for one guy!"
Dane+Cook,male,Boston,actor,United States of America,,,,,45.0,Dane Cook Gets Robbed By Brother
Jerry+Seinfeld,male,New York City,actor,United States of America,,,American Jews,,63.0,Jerry Seinfeld - All Awards Are Stupid
David+Copperfield,male,Metuchen,stage magician,United States of America,,,Jews,,61.0,"""David Copperfield"" - Live Speech At The Croods Premiere"
Tracy+Morgan,male,The Bronx,actor,United States of America,,,African Americans,,49.0,Tracy Morgan Emmys Speech 2015
Logan+Henderson,male,North Richland Hills,television actor,United States of America,,,,,28.0,Logan Henderson Palm Reading
Zlatan+Ibrahimović,male,Malmö,association football player,Sweden,,,,,36.0,Ibrahimovic in tears while giving a speech about two Swedish footballers and brother who passed away
Caitlyn+Jenner,transgender female,Mount Kisco,film producer,United States of America,,,,,68.0,Caitlyn Jenner's Moving Speech at the ESPY Awards | Nightline | ABC News
COMMON,male,Chicago,actor,United States of America,Christianity,,African Americans,,45.0,Common & John Legend Acceptance Speech Oscar 2015
Amber+Rose,female,Philadelphia,actor,United States of America,,,,,34.0,Amber Rose Breaks Down Crying Over Wiz Khalifa & Kanye West At Slut Walk - 10.3.15
Jacqueline+Fernandez,female,Bahrain,model,Sri Lanka,,,,,30.0,Jacqueline Fernandez Full Speech At Panbai International school
Karim+Benzema,male,Lyon,association football player,France,Islam,,,,30.0,Karim Benzema: Come back to national team?
Martha+Stewart,female,Jersey City,television presenter,United States of America,,,,,76.0,Martha Stewart's Top 10 Rules For Success (@MarthaStewart)
James+Maslow,male,New York City,actor,United States of America,,,,,27.0,James Maslow and Big Time Rush on KTLA Morning Show
Susana+Gimenez,female,Buenos Aires,actor,Argentina,,,Argentines of European descent,,73.0,Susana Pena Final Speech
David+Henrie,male,Mission Viejo,actor,United States of America,Roman Catholic,,Italian American,,28.0,David Henrie's speech in Peru (Piura)
Caspar+Lee,male,London,actor,South Africa,,,,,23.0,SHOCKING KARAOKE
Steve+Aoki,male,Miami,club DJ,United States of America,,,,,40.0,steve aoki speech at dwp14 Jakarta
James+Harden,male,Los Angeles,basketball player,United States of America,,,African Americans,,28.0,1-on-1 Interview with James Harden | NBA TV
shruti+haasan,female,Chennai,actor,India,Hinduism,,,,31.0,Shruti Hassan unseen childhood speech about Kamal Hassan
Sania+Mirza,female,Mumbai,tennis player,India,,,,,31.0,Martina Hingis & Sania Mirza 2015 WTA Finals Final Speech
Steve+Austin,male,Austin,actor,United States of America,,,,,53.0,"""Stone Cold"" gives his iconic ""Austin 3:16"" speech: King of the Ring 1996, only on WWE Network"
Sandara+Park,female,Busan,television actor,South Korea,,,,,33.0,[HD] 150128 GAON CHART AWARDS 2NE1 Dara Cut
Nina+Garcia,female,Barranquilla,journalist,Colombia,,,,,52.0,FIT Commencement - Nina Garcia
Hayes+Grier,male,,television presenter,United States of America,,,,,17.0,Hayes Grier INJURED In Dirt Bike Accident
Shay+Mitchell,female,Toronto,actor,Canada,,,,,30.0,Pretty Little Liars Farewell Letter | Shay Mitchell
Troye+Sivan,male,Johannesburg,actor,Australia,,,,,22.0,Troye Sivan's Full Acceptance Speech l 28th Annual GLAAD Media Awards
Reggie+Bush,male,San Diego,American football player,United States of America,,,,,32.0,College Football: Reggie Bush returns Heisman Trophy
Harsha+Bhogle,male,Hyderabad,journalist,India,,,,,56.0,harsha Bhogle at IIM
Juliana+Paes,female,Rio de Janeiro,actor,Brazil,,,,,38.0,"Meu Corpo, Minhas Regras - Olmo e A Gaivota / My Body, My Rules - Olmo and The Seagull"
Gary+Neville,male,Bury,association football player,United Kingdom,,,,,42.0,"Manchester United 1-2 Juventus all goals, Gary Neville Testimonal at Old Trafford (24/05/2011)"
Stephen+Curry,male,Akron,basketball player,United States of America,,,African Americans,,29.0,Stephen Curry MVP Speech Full Length
Tim+Tebow,male,Makati,American football player,United States of America,,,,,30.0,Tim Tebow Greatest Speech
Lewis+Hamilton,male,Stevenage,Formula One driver,United Kingdom,Catholicism,,,,32.0,Lewis Hamilton - International Racing Driver of the Year - AUTOSPORT Awards 2014
Giovanna+Antonelli,female,Rio de Janeiro,actor,Brazil,,,,,41.0,ONE WAY LADIES
Josh+Hutcherson,male,Union,actor,United States of America,,,,,25.0,Benicio Del Toro and Josh Hutcherson at the 23rd Annual GLAAD Media Awards #glaadawards
Fernando+Torres,male,Fuenlabrada,association football player,Spain,,,,,33.0,Fernando Torres Speech Atlantis 2016 mp4
Amr+Waked,male,Cairo,stage actor,Egypt,,,,,44.0,"Amr Waked in ""House of Saddam"""
Boman+Irani,male,Mumbai,actor,India,,,,,58.0,How A Shy Dyslexic Kid Became A Bollywood Star | Boman Irani
Lena+Dunham,female,New York City,actor,United States of America,,,,,31.0,Lena Dunham and America Ferrera's entire DNC speech
